name_admin_unit,part_of_district,admin_unit,region,households,res_st_owned,res_st_rented,res_st_rent_free,res_st_govt,res_st_non_govt,res_st_other,owner_gender_male,owner_gender_female,no_rooms_one,no_rooms_two,no_rooms_three,no_rooms_grtreq_four
LASBELA,LASBELA,DISTRICT,RURAL,61309,58084,215,2037,92,16,865,58220,2116,49166,9987,1614,542
LASBELA,LASBELA,DISTRICT,URBAN,54230,40113,11429,1621,612,66,389,51725,1438,22497,18689,7418,5626
LORALAI,LORALAI,DISTRICT,OVERALL,38214,28494,3734,4447,589,25,925,36062,613,10784,13144,7429,6857
LORALAI,LORALAI,DISTRICT,RURAL,30607,23646,2000,4090,37,12,822,29216,520,9403,10469,5642,5093
LORALAI,LORALAI,DISTRICT,URBAN,7607,4848,1734,357,552,13,103,6846,93,1381,2675,1787,1764
MASTUNG,MASTUNG,DISTRICT,OVERALL,43695,38788,1224,2578,218,23,864,42061,529,5680,13758,11178,13079
MASTUNG,MASTUNG,DISTRICT,RURAL,38262,33942,756,2544,152,16,852,36774,468,5444,12379,9426,11013
MASTUNG,MASTUNG,DISTRICT,URBAN,5433,4846,468,34,66,7,12,5287,61,236,1379,1752,2066
MUSAKHEL,MUSAKHEL,DISTRICT,OVERALL,31252,29434,728,764,65,19,242,30025,901,10610,9913,5374,5355
MUSAKHEL,MUSAKHEL,DISTRICT,RURAL,28892,27650,287,695,15,8,237,27900,732,10057,9185,4847,4803
MUSAKHEL,MUSAKHEL,DISTRICT,URBAN,2360,1784,441,69,50,11,5,2125,169,553,728,527,552
NASIRABAD,NASIRABAD,DISTRICT,OVERALL,87516,64013,3389,13802,341,35,5936,80065,1139,47758,25619,9114,5025
NASIRABAD,NASIRABAD,DISTRICT,RURAL,73243,52541,1303,13471,17,33,5878,66364,951,42389,19921,6974,3959
NASIRABAD,NASIRABAD,DISTRICT,URBAN,14273,11472,2086,331,324,2,58,13701,188,5369,5698,2140,1066
NUSHKI,NUSHKI,DISTRICT,OVERALL,31255,29028,1089,889,154,17,78,30509,497,6173,12414,7463,5205
NUSHKI,NUSHKI,DISTRICT,RURAL,23995,22849,243,800,22,9,72,23464,428,4645,9613,5856,3881
NUSHKI,NUSHKI,DISTRICT,URBAN,7260,6179,846,89,132,8,6,7045,69,1528,2801,1607,1324
PANJGUR,PANJGUR,DISTRICT,OVERALL,117089,112245,2659,715,41,74,1355,112370,3249,23843,33955,24822,34469
PANJGUR,PANJGUR,DISTRICT,RURAL,87916,84824,1167,605,30,62,1228,84373,2223,20665,27282,19496,20473
PANJGUR,PANJGUR,DISTRICT,URBAN,29173,27421,1492,110,11,12,127,27997,1026,3178,6673,5326,13996
PISHIN,PISHIN,DISTRICT,OVERALL,147185,127733,4463,10805,436,54,3694,140083,2918,40856,52970,27050,26309
PISHIN,PISHIN,DISTRICT,RURAL,105247,93985,1463,7754,59,41,1945,101015,2187,31089,38614,18533,17011
PISHIN,PISHIN,DISTRICT,URBAN,41938,33748,3000,3051,377,13,1749,39068,731,9767,14356,8517,9298
QUETTA,QUETTA,DISTRICT,OVERALL,288459,198427,72351,4344,11992,323,1022,269574,5548,38345,84272,70581,95261
QUETTA,QUETTA,DISTRICT,RURAL,127338,95394,26144,3190,1811,216,583,122511,2217,20182,38794,31168,37194
QUETTA,QUETTA,DISTRICT,URBAN,161121,103033,46207,1154,10181,107,439,147063,3331,18163,45478,39413,58067
SHERANI,SHERANI,DISTRICT,OVERALL,36100,34242,722,859,25,19,233,33778,2045,4112,10825,9707,11456
SHERANI,SHERANI,DISTRICT,RURAL,36100,34242,722,859,25,19,233,33778,2045,4112,10825,9707,11456
SHERANI,SHERANI,DISTRICT,URBAN,,,,,,,,,,,,,
SIBI,SIBI,DISTRICT,OVERALL,31296,23771,2859,2750,755,15,1146,28948,432,11081,10905,4868,4442
SIBI,SIBI,DISTRICT,RURAL,19771,14928,1120,2472,141,6,1104,18267,253,7889,7019,2676,2187
SIBI,SIBI,DISTRICT,URBAN,11525,8843,1739,278,614,9,42,10681,179,3192,3886,2192,2255
SOHBATPUR,SOHBATPUR,DISTRICT,OVERALL,33734,19288,397,10895,19,14,3121,29886,694,25620,6157,1352,605
SOHBATPUR,SOHBATPUR,DISTRICT,RURAL,31941,17723,241,10848,17,14,3098,28156,656,24311,5772,1283,575
SOHBATPUR,SOHBATPUR,DISTRICT,URBAN,1793,1565,156,47,2,,23,1730,38,1309,385,69,30
SURAB,SURAB,DISTRICT,OVERALL,51227,49279,724,815,21,29,359,48980,1838,10968,16440,12691,11128
SURAB,SURAB,DISTRICT,RURAL,45045,43497,400,790,10,26,322,43035,1652,10622,14474,10868,9081
SURAB,SURAB,DISTRICT,URBAN,6182,5782,324,25,11,3,37,5945,186,346,1966,1823,2047
WASHUK,WASHUK,DISTRICT,OVERALL,49049,48194,477,171,28,16,163,46195,2647,18222,16376,8615,5836
WASHUK,WASHUK,DISTRICT,RURAL,41953,41165,466,156,22,13,131,39541,2246,14504,14411,7678,5360
WASHUK,WASHUK,DISTRICT,URBAN,7096,7029,11,15,6,3,32,6654,401,3718,1965,937,476
ZHOB,ZHOB,DISTRICT,OVERALL,47901,39086,5121,2058,697,30,909,45061,1204,9944,15117,10121,12719
ZHOB,ZHOB,DISTRICT,RURAL,41474,35900,2599,2015,29,28,903,39442,1072,9127,13170,8538,10639
ZHOB,ZHOB,DISTRICT,URBAN,6427,3186,2522,43,668,2,6,5619,132,817,1947,1583,2080
ZIARAT,ZIARAT,DISTRICT,OVERALL,22894,20225,326,2174,51,5,113,22117,608,8706,7340,3678,3170
ZIARAT,ZIARAT,DISTRICT,RURAL,17299,15434,68,1679,12,5,101,16663,518,6942,5500,2647,2210
ZIARAT,ZIARAT,DISTRICT,URBAN,5595,4791,258,495,39,,12,5454,90,1764,1840,1031,960
